YRQTR; 2016Q1

31AB>FIN;7305
32CDEF>FIN;359570
33GHIJKLMNOPQRST>FIN;177871

INIT>31AB;7305
INIT>32CDEF;359570
INIT>33GHIJKLMNOPQRST;177871

31AB>31AB;822
31AB>32CDEF;38938
31AB>33GHIJKLMNOPQRST;2953
32CDEF>31AB;4707
32CDEF>32CDEF;251518
32CDEF>33GHIJKLMNOPQRST;58219
33GHIJKLMNOPQRST>31AB;1776
33GHIJKLMNOPQRST>32CDEF;69114
33GHIJKLMNOPQRST>33GHIJKLMNOPQRST;116699
9610>31AB;1362
9610>32CDEF;60827
9610>33GHIJKLMNOPQRST;118533
31AB>9140;192
32CDEF>9140;157468
33GHIJKLMNOPQRST>9140;27574
9622>31AB;342
9622>32CDEF;15507
9622>33GHIJKLMNOPQRST;8412
31AB>9112;0
32CDEF>9112;294
33GHIJKLMNOPQRST>9112;61851
31AB>9122;0
32CDEF>9122;0
33GHIJKLMNOPQRST>9122;0
9690>31AB;8462
9690>32CDEF;140638
9690>33GHIJKLMNOPQRST;226553
31AB>9111;4352
32CDEF>9111;44292
33GHIJKLMNOPQRST>9111;147027
31AB>9121;19
32CDEF>9121;14447
33GHIJKLMNOPQRST>9121;5263
9321>31AB;25705
9321>32CDEF;68891
9321>33GHIJKLMNOPQRST;22358
31AB>9131;0
32CDEF>9131;0
33GHIJKLMNOPQRST>9131;0
9621>31AB;7060
9621>32CDEF;78669
9621>33GHIJKLMNOPQRST;107475
9630>31AB;139
9630>32CDEF;1260
9630>33GHIJKLMNOPQRST;3341
9322>31AB;0
9322>32CDEF;0
9322>33GHIJKLMNOPQRST;0
31AB>912191229131;19
32CDEF>912191229131;14447
33GHIJKLMNOPQRST>912191229131;5263
31AB>91119112;4352
32CDEF>91119112;44586
33GHIJKLMNOPQRST>91119112;208879
9329>31AB;25705
9329>32CDEF;68891
9329>33GHIJKLMNOPQRST;22358
