YRQTR; 2016Q1

1001A>FIN;7014
1002BCDE>FIN;325346
1003F>FIN;34505
1004GHI>FIN;71704
1005J>FIN;16023
1006K>FIN;15366
1007L>FIN;10653
1008MN>FIN;28715
1009OPQ>FIN;26439
1010RST>FIN;8938

INIT>1001A;7014
INIT>1002BCDE;325346
INIT>1003F;34505
INIT>1004GHI;71704
INIT>1005J;16023
INIT>1006K;15366
INIT>1007L;10653
INIT>1008MN;28715
INIT>1009OPQ;26439
INIT>1010RST;8938

1001A>1001A;820
1001A>1002BCDE;9965
1001A>1003F;129
1001A>1004GHI;2244
1001A>1005J;10
1001A>1006K;13
1001A>1007L;3
1001A>1008MN;45
1001A>1009OPQ;554
1001A>1010RST;67
1002BCDE>1001A;4563
1002BCDE>1002BCDE;254884
1002BCDE>1003F;22991
1002BCDE>1004GHI;27003
1002BCDE>1005J;3061
1002BCDE>1006K;1385
1002BCDE>1007L;914
1002BCDE>1008MN;9091
1002BCDE>1009OPQ;9023
1002BCDE>1010RST;3834
1003F>1001A;38
1003F>1002BCDE;2364
1003F>1003F;230
1003F>1004GHI;649
1003F>1005J;128
1003F>1006K;94
1003F>1007L;1793
1003F>1008MN;331
1003F>1009OPQ;773
1003F>1010RST;149
1004GHI>1001A;895
1004GHI>1002BCDE;31485
1004GHI>1003F;3031
1004GHI>1004GHI;20536
1004GHI>1005J;3291
1004GHI>1006K;1357
1004GHI>1007L;476
1004GHI>1008MN;4870
1004GHI>1009OPQ;7040
1004GHI>1010RST;2212
1005J>1001A;44
1005J>1002BCDE;1686
1005J>1003F;173
1005J>1004GHI;3240
1005J>1005J;4737
1005J>1006K;2110
1005J>1007L;168
1005J>1008MN;4692
1005J>1009OPQ;1613
1005J>1010RST;558
1006K>1001A;338
1006K>1002BCDE;4987
1006K>1003F;1167
1006K>1004GHI;2746
1006K>1005J;471
1006K>1006K;5360
1006K>1007L;3982
1006K>1008MN;1046
1006K>1009OPQ;2036
1006K>1010RST;422
1007L>1001A;11
1007L>1002BCDE;1179
1007L>1003F;225
1007L>1004GHI;5191
1007L>1005J;405
1007L>1006K;1428
1007L>1007L;1125
1007L>1008MN;1543
1007L>1009OPQ;1453
1007L>1010RST;461
1008MN>1001A;213
1008MN>1002BCDE;17140
1008MN>1003F;6323
1008MN>1004GHI;8537
1008MN>1005J;3415
1008MN>1006K;3158
1008MN>1007L;2065
1008MN>1008MN;6235
1008MN>1009OPQ;2847
1008MN>1010RST;857
1009OPQ>1001A;60
1009OPQ>1002BCDE;775
1009OPQ>1003F;135
1009OPQ>1004GHI;784
1009OPQ>1005J;102
1009OPQ>1006K;204
1009OPQ>1007L;52
1009OPQ>1008MN;296
1009OPQ>1009OPQ;614
1009OPQ>1010RST;77
1010RST>1001A;32
1010RST>1002BCDE;881
1010RST>1003F;101
1010RST>1004GHI;774
1010RST>1005J;403
1010RST>1006K;257
1010RST>1007L;75
1010RST>1008MN;566
1010RST>1009OPQ;486
1010RST>1010RST;301
9610>1001A;1265
9610>1002BCDE;43916
9610>1003F;17008
9610>1004GHI;29841
9610>1005J;6508
9610>1006K;9240
9610>1007L;2727
9610>1008MN;22875
9610>1009OPQ;43269
9610>1010RST;4069
1001A>9140;162
1002BCDE>9140;148106
1003F>9140;9391
1004GHI>9140;16423
1005J>9140;1749
1006K>9140;618
1007L>9140;2251
1008MN>9140;5857
1009OPQ>9140;203
1010RST>9140;470
9622>1001A;313
9622>1002BCDE;13979
9622>1003F;1557
9622>1004GHI;2145
9622>1005J;967
9622>1006K;995
9622>1007L;275
9622>1008MN;2436
9622>1009OPQ;1365
9622>1010RST;225
1001A>9112;0
1002BCDE>9112;0
1003F>9112;294
1004GHI>9112;0
1005J>9112;0
1006K>9112;0
1007L>9112;0
1008MN>9112;0
1009OPQ>9112;61362
1010RST>9112;489
1001A>9122;0
1002BCDE>9122;0
1003F>9122;0
1004GHI>9122;0
1005J>9122;0
1006K>9122;0
1007L>9122;0
1008MN>9122;0
1009OPQ>9122;0
1010RST>9122;0
9690>1001A;8158
9690>1002BCDE;118436
9690>1003F;22506
9690>1004GHI;54845
9690>1005J;17091
9690>1006K;21657
9690>1007L;29865
9690>1008MN;35320
9690>1009OPQ;59972
9690>1010RST;7800
1001A>9111;4349
1002BCDE>9111;43403
1003F>9111;891
1004GHI>9111;48579
1005J>9111;7984
1006K>9111;16742
1007L>9111;29869
1008MN>9111;2767
1009OPQ>9111;26881
1010RST>9111;14202
1001A>9121;19
1002BCDE>9121;5607
1003F>9121;8840
1004GHI>9121;520
1005J>9121;1242
1006K>9121;0
1007L>9121;436
1008MN>9121;3042
1009OPQ>9121;0
1010RST>9121;20
9321>1001A;2295
9321>1002BCDE;91612
9321>1003F;689
9321>1004GHI;9707
9321>1005J;0
9321>1006K;12
9321>1007L;0
9321>1008MN;7346
9321>1009OPQ;4825
9321>1010RST;465
1001A>9131;0
1002BCDE>9131;0
1003F>9131;0
1004GHI>9131;0
1005J>9131;0
1006K>9131;0
1007L>9131;0
1008MN>9131;0
1009OPQ>9131;0
1010RST>9131;0
9621>1001A;6853
9621>1002BCDE;73384
9621>1003F;5491
9621>1004GHI;24742
9621>1005J;10560
9621>1006K;12379
9621>1007L;27138
9621>1008MN;12220
9621>1009OPQ;16703
9621>1010RST;3731
9630>1001A;138
9630>1002BCDE;1130
9630>1003F;130
9630>1004GHI;550
9630>1005J;84
9630>1006K;316
9630>1007L;2048
9630>1008MN;125
9630>1009OPQ;62
9630>1010RST;155
9322>1001A;0
9322>1002BCDE;0
9322>1003F;0
9322>1004GHI;0
9322>1005J;0
9322>1006K;0
9322>1007L;0
9322>1008MN;0
9322>1009OPQ;0
9322>1010RST;0
1001A>912191229131;19
1002BCDE>912191229131;5607
1003F>912191229131;8840
1004GHI>912191229131;520
1005J>912191229131;1242
1006K>912191229131;0
1007L>912191229131;436
1008MN>912191229131;3042
1009OPQ>912191229131;0
1010RST>912191229131;20
1001A>91119112;4349
1002BCDE>91119112;43403
1003F>91119112;1185
1004GHI>91119112;48579
1005J>91119112;7984
1006K>91119112;16742
1007L>91119112;29869
1008MN>91119112;2767
1009OPQ>91119112;88244
1010RST>91119112;14691
9329>1001A;2295
