YRQTR; 2015Q4

1001A>FIN;7029
1002BCDE>FIN;329102
1003F>FIN;34822
1004GHI>FIN;71976
1005J>FIN;16087
1006K>FIN;15411
1007L>FIN;10719
1008MN>FIN;28804
1009OPQ>FIN;26329
1010RST>FIN;8974

INIT>1001A;7029
INIT>1002BCDE;329102
INIT>1003F;34822
INIT>1004GHI;71976
INIT>1005J;16087
INIT>1006K;15411
INIT>1007L;10719
INIT>1008MN;28804
INIT>1009OPQ;26329
INIT>1010RST;8974

1001A>1001A;821
1001A>1002BCDE;10002
1001A>1003F;130
1001A>1004GHI;2251
1001A>1005J;10
1001A>1006K;13
1001A>1007L;3
1001A>1008MN;45
1001A>1009OPQ;553
1001A>1010RST;67
1002BCDE>1001A;4573
1002BCDE>1002BCDE;257865
1002BCDE>1003F;23207
1002BCDE>1004GHI;27089
1002BCDE>1005J;3073
1002BCDE>1006K;1389
1002BCDE>1007L;920
1002BCDE>1008MN;9120
1002BCDE>1009OPQ;8989
1002BCDE>1010RST;3850
1003F>1001A;38
1003F>1002BCDE;2377
1003F>1003F;231
1003F>1004GHI;651
1003F>1005J;129
1003F>1006K;94
1003F>1007L;1804
1003F>1008MN;332
1003F>1009OPQ;770
1003F>1010RST;150
1004GHI>1001A;897
1004GHI>1002BCDE;31870
1004GHI>1003F;3056
1004GHI>1004GHI;20612
1004GHI>1005J;3304
1004GHI>1006K;1361
1004GHI>1007L;479
1004GHI>1008MN;4884
1004GHI>1009OPQ;7016
1004GHI>1010RST;2220
1005J>1001A;44
1005J>1002BCDE;1707
1005J>1003F;174
1005J>1004GHI;3257
1005J>1005J;4755
1005J>1006K;2116
1005J>1007L;169
1005J>1008MN;4708
1005J>1009OPQ;1604
1005J>1010RST;560
1006K>1001A;339
1006K>1002BCDE;5056
1006K>1003F;1178
1006K>1004GHI;2759
1006K>1005J;473
1006K>1006K;5376
1006K>1007L;4006
1006K>1008MN;1050
1006K>1009OPQ;2024
1006K>1010RST;424
1007L>1001A;11
1007L>1002BCDE;1191
1007L>1003F;227
1007L>1004GHI;5218
1007L>1005J;407
1007L>1006K;1432
1007L>1007L;1132
1007L>1008MN;1548
1007L>1009OPQ;1448
1007L>1010RST;462
1008MN>1001A;213
1008MN>1002BCDE;17358
1008MN>1003F;6382
1008MN>1004GHI;8574
1008MN>1005J;3429
1008MN>1006K;3167
1008MN>1007L;2078
1008MN>1008MN;6252
1008MN>1009OPQ;2830
1008MN>1010RST;861
1009OPQ>1001A;61
1009OPQ>1002BCDE;784
1009OPQ>1003F;136
1009OPQ>1004GHI;787
1009OPQ>1005J;103
1009OPQ>1006K;205
1009OPQ>1007L;52
1009OPQ>1008MN;297
1009OPQ>1009OPQ;610
1009OPQ>1010RST;78
1010RST>1001A;32
1010RST>1002BCDE;892
1010RST>1003F;101
1010RST>1004GHI;778
1010RST>1005J;404
1010RST>1006K;258
1010RST>1007L;76
1010RST>1008MN;568
1010RST>1009OPQ;485
1010RST>1010RST;302
9610>1001A;1267
9610>1002BCDE;44426
9610>1003F;17157
9610>1004GHI;29961
9610>1005J;6531
9610>1006K;9265
9610>1007L;2742
9610>1008MN;22928
9610>1009OPQ;43044
9610>1010RST;4084
1001A>9140;161
1002BCDE>9140;147700
1003F>9140;9250
1004GHI>9140;16265
1005J>9140;1723
1006K>9140;609
1007L>9140;2222
1008MN>9140;5804
1009OPQ>9140;200
1010RST>9140;463
9622>1001A;314
9622>1002BCDE;14134
9622>1003F;1569
9622>1004GHI;2160
9622>1005J;967
9622>1006K;995
9622>1007L;276
9622>1008MN;2441
9622>1009OPQ;1358
9622>1010RST;226
1001A>9112;0
1002BCDE>9112;0
1003F>9112;289
1004GHI>9112;0
1005J>9112;0
1006K>9112;0
1007L>9112;0
1008MN>9112;0
1009OPQ>9112;60889
1010RST>9112;477
1001A>9122;0
1002BCDE>9122;0
1003F>9122;0
1004GHI>9122;0
1005J>9122;0
1006K>9122;0
1007L>9122;0
1008MN>9122;0
1009OPQ>9122;0
1010RST>9122;0
9690>1001A;8057
9690>1002BCDE;116503
9690>1003F;22154
9690>1004GHI;54317
9690>1005J;17052
9690>1006K;21541
9690>1007L;29834
9690>1008MN;35115
9690>1009OPQ;59265
9690>1010RST;7761
1001A>9111;4344
1002BCDE>9111;43538
1003F>9111;891
1004GHI>9111;48441
1005J>9111;7914
1006K>9111;16598
1007L>9111;29673
1008MN>9111;2765
1009OPQ>9111;26872
1010RST>9111;14154
1001A>9121;19
1002BCDE>9121;5637
1003F>9121;8764
1004GHI>9121;516
1005J>9121;1232
1006K>9121;0
1007L>9121;435
1008MN>9121;3029
1009OPQ>9121;0
1010RST>9121;20
9321>1001A;2448
9321>1002BCDE;96943
9321>1003F;735
9321>1004GHI;10157
9321>1005J;0
9321>1006K;13
9321>1007L;0
9321>1008MN;7794
9321>1009OPQ;5147
9321>1010RST;481
1001A>9131;0
1002BCDE>9131;0
1003F>9131;0
1004GHI>9131;0
1005J>9131;0
1006K>9131;0
1007L>9131;0
1008MN>9131;0
1009OPQ>9131;0
1010RST>9131;0
9621>1001A;6766
9621>1002BCDE;66931
9621>1003F;4519
9621>1004GHI;23938
9621>1005J;10417
9621>1006K;12192
9621>1007L;26856
9621>1008MN;12059
9621>1009OPQ;16221
9621>1010RST;3615
9630>1001A;138
9630>1002BCDE;1142
9630>1003F;131
9630>1004GHI;549
9630>1005J;83
9630>1006K;315
9630>1007L;2048
9630>1008MN;125
9630>1009OPQ;62
9630>1010RST;155
9322>1001A;0
9322>1002BCDE;0
9322>1003F;0
9322>1004GHI;0
9322>1005J;0
9322>1006K;0
9322>1007L;0
9322>1008MN;0
9322>1009OPQ;0
9322>1010RST;0
1001A>912191229131;19
1002BCDE>912191229131;5637
1003F>912191229131;8764
1004GHI>912191229131;516
1005J>912191229131;1232
1006K>912191229131;0
1007L>912191229131;435
1008MN>912191229131;3029
1009OPQ>912191229131;0
1010RST>912191229131;20
1001A>91119112;4344
1002BCDE>91119112;43538
1003F>91119112;1180
1004GHI>91119112;48441
1005J>91119112;7914
1006K>91119112;16598
1007L>91119112;29673
1008MN>91119112;2765
1009OPQ>91119112;87761
1010RST>91119112;14632
9329>1001A;2448
9329>1002BCDE;96943
9329>1003F;735
9329>1004GHI;10157
9329>1005J;0
9329>1006K;13
9329>1007L;0
9329>1008MN;7794
9329>1009OPQ;5147
9329>1010RST;481
