YRQTR; 2015Q1

1001A>FIN;0
1002BCDE>FIN;0
1003F>FIN;0
1004GHI>FIN;0
1005J>FIN;0
1006K>FIN;0
1007L>FIN;0
1008MN>FIN;0
1009OPQ>FIN;0
1010RST>FIN;0

INIT>1001A;0
INIT>1002BCDE;0
INIT>1003F;0
INIT>1004GHI;0
INIT>1005J;0
INIT>1006K;0
INIT>1007L;0
INIT>1008MN;0
INIT>1009OPQ;0
INIT>1010RST;0

1001A>1001A;0
1001A>1002BCDE;0
1001A>1003F;0
1001A>1004GHI;0
1001A>1005J;0
1001A>1006K;0
1001A>1007L;0
1001A>1008MN;0
1001A>1009OPQ;0
1001A>1010RST;0
1002BCDE>1001A;0
1002BCDE>1002BCDE;0
1002BCDE>1003F;0
1002BCDE>1004GHI;0
1002BCDE>1005J;0
1002BCDE>1006K;0
1002BCDE>1007L;0
1002BCDE>1008MN;0
1002BCDE>1009OPQ;0
1002BCDE>1010RST;0
1003F>1001A;0
1003F>1002BCDE;0
1003F>1003F;0
1003F>1004GHI;0
1003F>1005J;0
1003F>1006K;0
1003F>1007L;0
1003F>1008MN;0
1003F>1009OPQ;0
1003F>1010RST;0
1004GHI>1001A;0
1004GHI>1002BCDE;0
1004GHI>1003F;0
1004GHI>1004GHI;0
1004GHI>1005J;0
1004GHI>1006K;0
1004GHI>1007L;0
1004GHI>1008MN;0
1004GHI>1009OPQ;0
1004GHI>1010RST;0
1005J>1001A;0
1005J>1002BCDE;0
1005J>1003F;0
1005J>1004GHI;0
1005J>1005J;0
1005J>1006K;0
1005J>1007L;0
1005J>1008MN;0
1005J>1009OPQ;0
1005J>1010RST;0
1006K>1001A;0
1006K>1002BCDE;0
1006K>1003F;0
1006K>1004GHI;0
1006K>1005J;0
1006K>1006K;0
1006K>1007L;0
1006K>1008MN;0
1006K>1009OPQ;0
1006K>1010RST;0
1007L>1001A;0
1007L>1002BCDE;0
1007L>1003F;0
1007L>1004GHI;0
1007L>1005J;0
1007L>1006K;0
1007L>1007L;0
1007L>1008MN;0
1007L>1009OPQ;0
1007L>1010RST;0
1008MN>1001A;0
1008MN>1002BCDE;0
1008MN>1003F;0
1008MN>1004GHI;0
1008MN>1005J;0
1008MN>1006K;0
1008MN>1007L;0
1008MN>1008MN;0
1008MN>1009OPQ;0
1008MN>1010RST;0
1009OPQ>1001A;0
1009OPQ>1002BCDE;0
1009OPQ>1003F;0
1009OPQ>1004GHI;0
1009OPQ>1005J;0
1009OPQ>1006K;0
1009OPQ>1007L;0
1009OPQ>1008MN;0
1009OPQ>1009OPQ;0
1009OPQ>1010RST;0
1010RST>1001A;0
1010RST>1002BCDE;0
1010RST>1003F;0
1010RST>1004GHI;0
1010RST>1005J;0
1010RST>1006K;0
1010RST>1007L;0
1010RST>1008MN;0
1010RST>1009OPQ;0
1010RST>1010RST;0
9610>1001A;1256
9610>1002BCDE;43944
9610>1003F;16894
9610>1004GHI;29586
9610>1005J;6440
9610>1006K;9132
9610>1007L;2700
9610>1008MN;22695
9610>1009OPQ;42105
9610>1010RST;4021
1001A>9140;164
1002BCDE>9140;150781
1003F>9140;9439
1004GHI>9140;16584
1005J>9140;1757
1006K>9140;621
1007L>9140;2265
1008MN>9140;5918
1009OPQ>9140;204
1010RST>9140;473
9622>1001A;311
9622>1002BCDE;13962
9622>1003F;1544
9622>1004GHI;2132
9622>1005J;953
9622>1006K;982
9622>1007L;271
9622>1008MN;2413
9622>1009OPQ;1327
9622>1010RST;222
1001A>9112;0
1002BCDE>9112;0
1003F>9112;279
1004GHI>9112;0
1005J>9112;0
1006K>9112;0
1007L>9112;0
1008MN>9112;0
1009OPQ>9112;59150
1010RST>9112;460
1001A>9122;0
1002BCDE>9122;0
1003F>9122;0
1004GHI>9122;0
1005J>9122;0
1006K>9122;0
1007L>9122;0
1008MN>9122;0
1009OPQ>9122;0
1010RST>9122;0
9690>1001A;7956
9690>1002BCDE;112304
9690>1003F;21684
9690>1004GHI;53304
9690>1005J;16712
9690>1006K;21135
9690>1007L;29263
9690>1008MN;34559
9690>1009OPQ;57704
9690>1010RST;7584
1001A>9111;4283
1002BCDE>9111;42999
1003F>9111;878
1004GHI>9111;47772
1005J>9111;7807
1006K>9111;16369
1007L>9111;29258
1008MN>9111;2726
1009OPQ>9111;26541
1010RST>9111;13965
1001A>9121;19
1002BCDE>9121;5561
1003F>9121;8648
1004GHI>9121;509
1005J>9121;1215
1006K>9121;0
1007L>9121;429
1008MN>9121;2987
1009OPQ>9121;0
1010RST>9121;20
9321>1001A;2446
9321>1002BCDE;98281
9321>1003F;735
9321>1004GHI;10348
9321>1005J;0
9321>1006K;13
9321>1007L;0
9321>1008MN;7831
9321>1009OPQ;5144
9321>1010RST;496
1001A>9131;0
1002BCDE>9131;0
1003F>9131;0
1004GHI>9131;0
1005J>9131;0
1006K>9131;0
1007L>9131;0
1008MN>9131;0
1009OPQ>9131;0
1010RST>9131;0
9621>1001A;6563
9621>1002BCDE;67233
9621>1003F;4661
9621>1004GHI;23176
9621>1005J;10189
9621>1006K;11692
9621>1007L;24552
9621>1008MN;11740
9621>1009OPQ;15538
9621>1010RST;3411
9630>1001A;136
9630>1002BCDE;1127
9630>1003F;129
9630>1004GHI;541
9630>1005J;82
9630>1006K;310
9630>1007L;2010
9630>1008MN;123
9630>1009OPQ;60
9630>1010RST;152
9322>1001A;0
9322>1002BCDE;0
9322>1003F;0
9322>1004GHI;0
9322>1005J;0
9322>1006K;0
9322>1007L;0
9322>1008MN;0
9322>1009OPQ;0
9322>1010RST;0
1001A>912191229131;19
1002BCDE>912191229131;5561
1003F>912191229131;8648
1004GHI>912191229131;509
1005J>912191229131;1215
1006K>912191229131;0
1007L>912191229131;429
1008MN>912191229131;2987
1009OPQ>912191229131;0
1010RST>912191229131;20
1001A>91119112;4283
1002BCDE>91119112;42999
1003F>91119112;1157
1004GHI>91119112;47772
1005J>91119112;7807
1006K>91119112;16369
1007L>91119112;29258
1008MN>91119112;2726
1009OPQ>91119112;85691
1010RST>91119112;14425
9329>1001A;2446
9329>1002BCDE;98281
9329>1003F;735
9329>1004GHI;10348
9329>1005J;0
9329>1006K;13
9329>1007L;0
9329>1008MN;7831
9329>1009OPQ;5144
9329>1010RST;496
