YRQTR; 2016Q3

1001A>FIN;7121
1002BCDE>FIN;326017
1003F>FIN;35010
1004GHI>FIN;72485
1005J>FIN;16280
1006K>FIN;15661
1007L>FIN;10927
1008MN>FIN;28887
1009OPQ>FIN;27403
1010RST>FIN;9209

INIT>1001A;7121
INIT>1002BCDE;326017
INIT>1003F;35010
INIT>1004GHI;72485
INIT>1005J;16280
INIT>1006K;15661
INIT>1007L;10927
INIT>1008MN;28887
INIT>1009OPQ;27403
INIT>1010RST;9209

1001A>1001A;832
1001A>1002BCDE;10122
1001A>1003F;131
1001A>1004GHI;2294
1001A>1005J;10
1001A>1006K;13
1001A>1007L;3
1001A>1008MN;45
1001A>1009OPQ;573
1001A>1010RST;69
1002BCDE>1001A;4634
1002BCDE>1002BCDE;255341
1002BCDE>1003F;23328
1002BCDE>1004GHI;27297
1002BCDE>1005J;3110
1002BCDE>1006K;1411
1002BCDE>1007L;938
1002BCDE>1008MN;9146
1002BCDE>1009OPQ;9349
1002BCDE>1010RST;3950
1003F>1001A;38
1003F>1002BCDE;2349
1003F>1003F;233
1003F>1004GHI;658
1003F>1005J;130
1003F>1006K;96
1003F>1007L;1839
1003F>1008MN;333
1003F>1009OPQ;801
1003F>1010RST;154
1004GHI>1001A;909
1004GHI>1002BCDE;31543
1004GHI>1003F;3075
1004GHI>1004GHI;20697
1004GHI>1005J;3344
1004GHI>1006K;1383
1004GHI>1007L;488
1004GHI>1008MN;4898
1004GHI>1009OPQ;7290
1004GHI>1010RST;2278
1005J>1001A;45
1005J>1002BCDE;1686
1005J>1003F;175
1005J>1004GHI;3285
1005J>1005J;4813
1005J>1006K;2151
1005J>1007L;173
1005J>1008MN;4722
1005J>1009OPQ;1676
1005J>1010RST;575
1006K>1001A;343
1006K>1002BCDE;4990
1006K>1003F;1184
1006K>1004GHI;2781
1006K>1005J;479
1006K>1006K;5463
1006K>1007L;4084
1006K>1008MN;1053
1006K>1009OPQ;2111
1006K>1010RST;435
1007L>1001A;11
1007L>1002BCDE;1181
1007L>1003F;229
1007L>1004GHI;5280
1007L>1005J;411
1007L>1006K;1455
1007L>1007L;1154
1007L>1008MN;1553
1007L>1009OPQ;1505
1007L>1010RST;474
1008MN>1001A;216
1008MN>1002BCDE;17149
1008MN>1003F;6416
1008MN>1004GHI;8616
1008MN>1005J;3470
1008MN>1006K;3219
1008MN>1007L;2118
1008MN>1008MN;6270
1008MN>1009OPQ;2956
1008MN>1010RST;884
1009OPQ>1001A;61
1009OPQ>1002BCDE;776
1009OPQ>1003F;137
1009OPQ>1004GHI;793
1009OPQ>1005J;104
1009OPQ>1006K;208
1009OPQ>1007L;53
1009OPQ>1008MN;298
1009OPQ>1009OPQ;637
1009OPQ>1010RST;80
1010RST>1001A;32
1010RST>1002BCDE;880
1010RST>1003F;102
1010RST>1004GHI;784
1010RST>1005J;409
1010RST>1006K;262
1010RST>1007L;77
1010RST>1008MN;569
1010RST>1009OPQ;505
1010RST>1010RST;310
9610>1001A;1263
9610>1002BCDE;43253
9610>1003F;16977
9610>1004GHI;29704
9610>1005J;6506
9610>1006K;9266
9610>1007L;2751
9610>1008MN;22629
9610>1009OPQ;44159
9610>1010RST;4124
1001A>9140;154
1002BCDE>9140;140333
1003F>9140;8976
1004GHI>9140;15651
1005J>9140;1680
1006K>9140;594
1007L>9140;2174
1008MN>9140;5574
1009OPQ>9140;193
1010RST>9140;450
9622>1001A;313
9622>1002BCDE;13700
9622>1003F;1552
9622>1004GHI;2141
9622>1005J;962
9622>1006K;995
9622>1007L;276
9622>1008MN;2405
9622>1009OPQ;1386
9622>1010RST;228
1001A>9112;0
1002BCDE>9112;0
1003F>9112;298
1004GHI>9112;0
1005J>9112;0
1006K>9112;0
1007L>9112;0
1008MN>9112;0
1009OPQ>9112;62920
1010RST>9112;502
1001A>9122;0
1002BCDE>9122;0
1003F>9122;0
1004GHI>9122;0
1005J>9122;0
1006K>9122;0
1007L>9122;0
1008MN>9122;0
1009OPQ>9122;0
1010RST>9122;0
9690>1001A;8168
9690>1002BCDE;115727
9690>1003F;22436
9690>1004GHI;55046
9690>1005J;17232
9690>1006K;21854
9690>1007L;30471
9690>1008MN;35072
9690>1009OPQ;61442
9690>1010RST;7934
1001A>9111;4385
1002BCDE>9111;43690
1003F>9111;895
1004GHI>9111;49282
1005J>9111;8130
1006K>9111;17027
1007L>9111;30581
1008MN>9111;2784
1009OPQ>9111;27288
1010RST>9111;14458
1001A>9121;19
1002BCDE>9121;5659
1003F>9121;8968
1004GHI>9121;530
1005J>9121;1267
1006K>9121;0
1007L>9121;449
1008MN>9121;3081
1009OPQ>9121;0
1010RST>9121;21
9321>1001A;2375
9321>1002BCDE;92764
9321>1003F;713
9321>1004GHI;10046
9321>1005J;0
9321>1006K;12
9321>1007L;0
9321>1008MN;7603
9321>1009OPQ;4994
9321>1010RST;482
1001A>9131;0
1002BCDE>9131;0
1003F>9131;0
1004GHI>9131;0
1005J>9131;0
1006K>9131;0
1007L>9131;0
1008MN>9131;0
1009OPQ>9131;0
1010RST>9131;0
9621>1001A;6858
9621>1002BCDE;65355
9621>1003F;5149
9621>1004GHI;24512
9621>1005J;10721
9621>1006K;12587
9621>1007L;27687
9621>1008MN;11918
9621>1009OPQ;17282
9621>1010RST;3780
9630>1001A;138
9630>1002BCDE;1102
9630>1003F;130
9630>1004GHI;549
9630>1005J;84
9630>1006K;319
9630>1007L;2082
9630>1008MN;124
9630>1009OPQ;63
9630>1010RST;157
9322>1001A;0
9322>1002BCDE;0
9322>1003F;0
9322>1004GHI;0
9322>1005J;0
9322>1006K;0
9322>1007L;0
9322>1008MN;0
9322>1009OPQ;0
9322>1010RST;0
1001A>912191229131;19
1002BCDE>912191229131;5659
1003F>912191229131;8968
1004GHI>912191229131;530
1005J>912191229131;1267
1006K>912191229131;0
1007L>912191229131;449
1008MN>912191229131;3081
1009OPQ>912191229131;0
1010RST>912191229131;21
1001A>91119112;4385
1002BCDE>91119112;43690
1003F>91119112;1194
1004GHI>91119112;49282
1005J>91119112;8130
1006K>91119112;17027
1007L>91119112;30581
1008MN>91119112;2784
1009OPQ>91119112;90209
1010RST>91119112;14960
9329>1001A;2375
9329>1002BCDE;92764
9329>1003F;713
9329>1004GHI;10046
9329>1005J;0
9329>1006K;12
9329>1007L;0
9329>1008MN;7603
9329>1009OPQ;4994
9329>1010RST;482
